round,client,l2,proj0,proj1,proj2,proj3,proj4,proj5,proj6,proj7,proj8,proj9
26,99,58.91056823730469,-55.71025848388672,61.04712677001953,-52.80884552001953,-66.77018737792969,54.4559440612793,77.546142578125,-48.11056518554688,15.00552463531494,-24.493358612060547,-8.162944793701172
27,99,88.27019500732422,-105.87043762207033,-137.00535583496094,-66.96937561035156,30.378009796142575,43.22153472900391,-71.59574890136719,144.06402587890625,104.3082504272461,110.47453308105467,-45.46813583374024
28,99,56.64417266845703,-1.311920166015625,-82.11271667480469,-22.252286911010746,51.58388519287109,124.42072296142578,-52.9115104675293,81.20597076416016,-142.2287139892578,-68.36505126953125,-93.30393981933594
29,99,93.3873062133789,-95.6260223388672,-13.015182495117188,100.10237884521484,35.08348846435547,-71.80656433105469,-70.13529968261719,142.88748168945312,1.2271881103515625,-115.86199188232422,54.73493194580078
30,99,100.84445190429688,-61.64056396484375,-265.9645080566406,-99.08863830566406,18.14655303955078,-4.785133361816406,41.75224685668945,-116.40856170654295,-180.52911376953125,-137.68511962890625,-55.53082656860352
31,99,70.15968322753906,-84.48698425292969,-134.9556884765625,-1.3671112060546875,-98.2509994506836,21.59319305419922,74.57777404785156,-120.61463928222656,-85.69071960449219,42.80013656616211,31.504619598388672
32,99,49.28683853149414,-38.50788879394531,25.673057556152344,88.67088317871094,65.94902038574219,-15.9425048828125,-51.632808685302734,-29.304994583129883,13.373102188110352,-24.39120101928711,8.018997192382812
33,99,70.39058685302734,100.36947631835938,-125.4985809326172,20.988487243652344,-8.947111129760742,132.7445526123047,92.05292510986328,20.27433013916016,22.073955535888672,7.714527130126953,9.974212646484377
34,99,100.64167022705078,14.795438766479492,-83.60176086425781,95.14439392089844,-50.54536819458008,-106.77490997314452,14.582441329956056,-195.00949096679688,-90.8347625732422,-60.14212417602539,97.7568359375
35,99,117.01873016357422,106.4779052734375,-191.6648712158203,98.36412811279295,-156.74017333984375,-25.8487548828125,8.746894836425781,-106.44123840332033,-171.21414184570312,73.66523742675781,-128.24276733398438
